"SLA","Line","adjusted_SLA"
28.3659183438485,"B1K-18-05",256.964149621206
-0.925842037315628,"B1K-18-09",227.672389240042
-0.13774257425388,"B1K-18-16",228.460488703103
-2.25693982323746,"B1K-18-17",226.34129145412
3.85112197384188,"B1K-18-18",232.449353251199
-1.36589296385282,"B1K-19-01",227.232338313504
-8.29320129531533,"B1K-19-05",220.305029982042
19.8688379603634,"B1K-19-08",248.467069237721
-23.8437855843503,"B1K-19-12",204.754445693007
13.6140013627728,"B1K-19-15",242.21223264013
5.60120990164593,"B1K-19-20",234.199441179003
3.42008364345059,"B1K-20-01",232.018314920808
11.0400912892946,"B1K-20-02",239.638322566652
25.6002914174861,"B1K-20-07",254.198522694843
-5.8610395120368,"B1K-20-08",222.73719176532
-11.7377716249618,"B1K-20-10",216.860459652395
-22.2016957366603,"B1K-20-11",206.396535540697
-6.08700417550357,"B1K-20-13",222.511227101854
18.2422946091302,"B1K-20-17",246.840525886487
0.29689734982408,"B1K-20-20",228.895128627181
-11.392145809427,"B1K-21-02",217.20608546793
-9.46368079390295,"B1K-21-03",219.134550483454
-4.37736140475755,"B1K-21-08",224.2208698726
5.85054742998129,"B1K-21-10",234.448778707339
-9.12408567728272,"B1K-21-11",219.474145600075
-8.53533429140411,"B1K-21-15",220.062896985953
-2.76159581802104,"B1K-21-20",225.836635459336
-23.8535879276725,"B1K-22-02",204.744643349685
-1.97466083868104,"B1K-22-03",226.623570438676
1.36830121886275,"B1K-22-06",229.96653249622
30.9192672339264,"B1K-22-08",259.517498511284
7.04135021494235,"B1K-22-09",235.6395814923
-1.56037358800128,"B1K-22-10",227.037857689356
10.7069364533272,"B1K-22-12",239.305167730684
-6.82240702953096,"B1K-22-13",221.775824247826
-11.5958784379834,"B1K-22-14",217.002352839374
5.72537361073046,"B1K-22-16",234.323604888088
5.15241548895095,"B1K-22-18",233.750646766308
-5.58310608204261,"B1K-23-01",223.015125195315
-4.63771333808928,"B1K-23-02",223.960517939268
14.5609912983597,"B1K-23-06",243.159222575717
-21.4535600850092,"B1K-23-07",207.144671192348
-3.99897693890023,"B1K-23-11",224.599254338457
3.23206044668526,"B1K-23-12",231.830291724043
-0.245908735264898,"B1K-23-14",228.352322542092
4.59594140909392,"B1K-23-19",233.194172686451
-10.1261647539091,"B1K-24-01",218.472066523448
-5.17332189980388,"B1K-24-02",223.424909377553
5.54257414759249,"B1K-24-03",234.14080542495
15.2973326708939,"B1K-24-05",243.895563948251
18.26723209396,"B1K-24-07",246.865463371317
-12.7606850438379,"B1K-24-09",215.837546233519
-3.38498475104484,"B1K-24-10",225.213246526312
-5.52155666625838,"B1K-24-13",223.076674611099
-10.0418805185974,"B1K-24-16",218.55635075876
2.22770218673554,"B1K-24-18",230.825933464093
-6.66694919196488,"B1K-25-01",221.931282085392
-9.27129014244761,"B1K-25-05",219.32694113491
-9.58408409547571,"B1K-25-08",219.014147181882
-8.36661903870554,"B1K-25-09",220.231612238652
4.25152987785916,"B1K-25-13",232.849761155216
3.43838988428931,"B1K-25-15",232.036621161647
-6.36068108086628,"B1K-25-20",222.237550196491
2.51446328548154,"B1K-26-03",231.112694562839
4.59913212497433,"B1K-26-05",233.197363402332
1.58150723393226,"B1K-26-08",230.17973851129
-25.7552131646549,"B1K-26-09",202.843018112702
-14.3857297485985,"B1K-26-11",214.212501528759
23.458961985508,"B1K-26-13",252.057193262865
-0.469142395212609,"B1K-26-16",228.129088882145
1.38976071209401,"B1K-26-17",229.987991989451
28.3454545827481,"B1K-27-02",256.943685860105
1.8174616462634,"B1K-27-08",230.415692923621
2.78137919410535,"B1K-27-11",231.379610471463
8.78766982545596,"B1K-27-15",237.385901102813
