"Days_to_Heading","Line","adjusted_hd"
-0.284863849942452,"B1K-17-01",33.3024600937195
0.599337213841346,"B1K-17-03",34.1866611575033
0.987047637758049,"B1K-17-07",34.57437158142
2.5388446098951,"B1K-17-10",36.1261685535571
0.248825661484155,"B1K-17-13",33.8361496051461
1.15565598419559,"B1K-17-17",34.7429799278576
0.982613437385136,"B1K-17-18",34.5699373810471
0.0921443030397539,"B1K-18-02",33.6794682467017
-1.24567911017507,"B1K-18-03",32.3416448334869
-0.864053065989771,"B1K-18-05",32.7232708776722
-0.525943201087105,"B1K-18-09",33.0613807425749
-0.466701673449396,"B1K-18-16",33.1206222702126
1.58352897607198,"B1K-18-17",35.170852919734
2.29369326613283,"B1K-18-18",35.8810172097948
1.08111160199252,"B1K-19-01",34.6684355456545
