"","x"
"Wave_719",2.37196109044913
"Wave_720",2.34745170101608
"Wave_721",2.31701687298021
"Wave_722",2.2815037752025
"Wave_723",2.24129110538195
"Wave_724",2.19699291653879
"Wave_725",2.14937773264678
"Wave_726",2.09871618247399
"Wave_727",2.04599608708702
"Wave_728",1.99230439706274
"Wave_729",1.93776252547946
"Wave_730",1.88360263182261
"Wave_731",1.83036819897933
"Wave_732",1.77808011902367
"Wave_733",1.7271448890634
"Wave_734",1.67722769824836
"Wave_735",1.62884665568535
"Wave_736",1.58386959431307
"Wave_737",1.54183336690262
"Wave_738",1.50225359932747
"Wave_739",1.46485731537771
"Wave_740",1.43062285558237
"Wave_741",1.39838303426418
"Wave_742",1.36814311875675
"Wave_743",1.34133474742659
"Wave_744",1.31621742126289
"Wave_745",1.29052752131183
"Wave_746",1.26461855431747
"Wave_747",1.24071804989726
"Wave_748",1.21905209382885
"Wave_749",1.19882349949351
"Wave_750",1.17907198242796
"Wave_751",1.16054550364863
"Wave_752",1.14142014361895
"Wave_753",1.12254120576101
"Wave_754",1.10517579540943
"Wave_755",1.08940592307967
"Wave_756",1.0745026647124
"Wave_757",1.06001077833507
"Wave_758",1.04582987271726
"Wave_759",1.03210597518736
"Wave_760",1.01845724463543
"Wave_761",1.00419009911731
"Wave_762",0.990464463285144
"Wave_763",0.978433699512621
"Wave_764",0.967545928667347
"Wave_765",0.956184930474707
"Wave_766",0.944016569024095
"Wave_767",0.931629798556901
"Wave_768",0.91977888139526
"Wave_769",0.909290635443879
"Wave_770",0.899499772032957
"Wave_771",0.890093109557851
"Wave_772",0.880614273179609
"Wave_773",0.870847485341703
"Wave_774",0.860049785079011
"Wave_775",0.849798725812871
"Wave_776",0.84147944542641
"Wave_777",0.833675031685522
"Wave_778",0.82621766501171
"Wave_779",0.818816132172928
"Wave_780",0.811205507782816
"Wave_781",0.804688973452588
"Wave_782",0.799390553397551
"Wave_783",0.79447885643996
"Wave_784",0.787338944776968
"Wave_785",0.778694448308777
"Wave_786",0.770258739848204
"Wave_787",0.763367793902814
"Wave_788",0.757864529142751
"Wave_789",0.75336130610786
"Wave_790",0.749544430770443
"Wave_791",0.746297000091577
"Wave_792",0.743007913053353
"Wave_793",0.739332157649899
"Wave_794",0.735087032134032
"Wave_795",0.729741895607517
"Wave_796",0.724575135628009
"Wave_797",0.720442550226146
"Wave_798",0.717587977893688
"Wave_799",0.715498001561633
"Wave_800",0.712977489578469
"Wave_801",0.710259101734156
"Wave_802",0.708710002503505
"Wave_803",0.710295463939554
"Wave_804",0.708126621483845
"Wave_805",0.703436304611013
"Wave_806",0.702841645763708
"Wave_807",0.70084266672338
"Wave_808",0.694640750847014
"Wave_809",0.685655678648434
"Wave_810",0.678998440842127
"Wave_811",0.674818897764101
"Wave_812",0.670917651199244
"Wave_813",0.665899583872666
"Wave_814",0.661115342945408
"Wave_815",0.658609763344206
"Wave_816",0.657549851824854
"Wave_817",0.65636309282916
"Wave_818",0.656433316468754
"Wave_819",0.65276791842001
"Wave_820",0.6488223966609
"Wave_821",0.651605864274394
"Wave_822",0.647326096734469
"Wave_823",0.640959222919096
"Wave_824",0.637110072621432
"Wave_825",0.636870839073591
"Wave_826",0.632583961354302
"Wave_827",0.626645369278466
"Wave_828",0.622652982072373
"Wave_829",0.624296423790917
"Wave_830",0.620403323668053
"Wave_831",0.613419504719272
"Wave_832",0.609916713353995
"Wave_833",0.60995285159878
"Wave_834",0.604656283137927
"Wave_835",0.597594042623349
"Wave_836",0.595749245598963
"Wave_837",0.59435003392137
"Wave_838",0.592371712709755
"Wave_839",0.589448185263303
"Wave_840",0.58615149930117
"Wave_841",0.585174297949846
"Wave_842",0.585086748633834
"Wave_843",0.584280094149398
"Wave_844",0.582908399059207
"Wave_845",0.58480080214011
"Wave_846",0.586295697392884
"Wave_847",0.584191389689664
"Wave_848",0.58419127267043
"Wave_849",0.583322787233736
"Wave_850",0.582057931240527
"Wave_851",0.581888877995945
"Wave_852",0.582019980482383
"Wave_853",0.584094233776257
"Wave_854",0.586138022329222
"Wave_855",0.584873585176352
"Wave_856",0.584571182904894
"Wave_857",0.586840971707294
"Wave_858",0.589119592386015
"Wave_859",0.585935891596153
"Wave_860",0.585528939438252
"Wave_861",0.586757724033452
"Wave_862",0.586339719707721
"Wave_863",0.580144835665249
"Wave_864",0.57556377127002
"Wave_865",0.570985061668393
"Wave_866",0.566489526246655
"Wave_867",0.567941930278582
"Wave_868",0.568034119175624
"Wave_869",0.56893463880676
"Wave_870",0.572597128562697
"Wave_871",0.566675096201457
"Wave_872",0.562845597293486
"Wave_873",0.56039349679758
"Wave_874",0.556039876119485
"Wave_875",0.55962800251094
"Wave_876",0.563938102974054
"Wave_877",0.563218577866337
"Wave_878",0.55728123768157
"Wave_879",0.553897330700758
"Wave_880",0.552583091248471
"Wave_881",0.55245541173854
"Wave_882",0.552530081978429
"Wave_883",0.550685333773427
"Wave_884",0.551014313964391
"Wave_885",0.55454558443807
"Wave_886",0.556475834992158
"Wave_887",0.556674975596016
"Wave_888",0.554136809703256
"Wave_889",0.551293013813199
"Wave_890",0.55634093128936
"Wave_891",0.560091952538133
"Wave_892",0.561278072632255
"Wave_893",0.562899380194307
"Wave_894",0.568749407322725
"Wave_895",0.568549430756837
"Wave_896",0.565997014413594
"Wave_897",0.568991899649499
"Wave_898",0.577720849299824
"Wave_899",0.582969173295072
"Wave_900",0.579316787982733
"Wave_901",0.570382678126938
"Wave_902",0.567931351618232
"Wave_903",0.567748672113927
"Wave_904",0.569537333543755
"Wave_905",0.574617077053248
"Wave_906",0.577157543393634
"Wave_907",0.577738572969491
"Wave_908",0.577141792952444
"Wave_909",0.575660925040759
"Wave_910",0.574981188237289
"Wave_911",0.576595558958198
"Wave_912",0.578947470714088
"Wave_913",0.577569485057114
"Wave_914",0.576427258566624
"Wave_915",0.573178537008788
"Wave_916",0.568304517258068
"Wave_917",0.565495300529739
"Wave_918",0.564245066306292
"Wave_919",0.563628796122848
"Wave_920",0.563692296161023
"Wave_921",0.564879394660856
"Wave_922",0.56629801361936
"Wave_923",0.566901411548762
"Wave_924",0.566825882089291
"Wave_925",0.566943863038544
"Wave_926",0.56788978390084
"Wave_927",0.569440315633837
"Wave_928",0.569880073600857
"Wave_929",0.57080568045529
"Wave_930",0.571619017332046
"Wave_931",0.57412787463493
"Wave_932",0.576812705207303
"Wave_933",0.578266444374556
"Wave_934",0.578479632910495
"Wave_935",0.579018521489521
"Wave_936",0.579796103760033
"Wave_937",0.581070560891951
"Wave_938",0.582973714166569
"Wave_939",0.584900137376908
"Wave_940",0.586112739559806
"Wave_941",0.588492467495066
"Wave_942",0.590070890621943
"Wave_943",0.591745606969039
"Wave_944",0.595485540630404
"Wave_945",0.600095513982503
"Wave_946",0.599999659233686
"Wave_947",0.59983238668297
"Wave_948",0.602666535576407
"Wave_949",0.60695632176906
"Wave_950",0.612020729500298
"Wave_951",0.61758608981335
"Wave_952",0.623574383750423
"Wave_953",0.627556480155732
"Wave_954",0.629108545109461
"Wave_955",0.630479772048409
"Wave_956",0.633694712192378
"Wave_957",0.637212442919179
"Wave_958",0.638926342544683
"Wave_959",0.640018072209805
"Wave_960",0.642357336571827
"Wave_961",0.646560164559225
"Wave_962",0.648586287138751
"Wave_963",0.650001152813996
"Wave_964",0.65353244665383
"Wave_965",0.655807292452349
"Wave_966",0.655898858710073
"Wave_967",0.656087133360342
"Wave_968",0.658225966822054
"Wave_969",0.660761770149654
"Wave_970",0.663688921638298
"Wave_971",0.665712830835811
"Wave_972",0.665961224504706
"Wave_973",0.667132807636393
"Wave_974",0.667557005501869
"Wave_975",0.668845432630556
"Wave_976",0.67160347068718
"Wave_977",0.673051872338016
"Wave_978",0.675165485863372
"Wave_979",0.677062662623437
"Wave_980",0.678072414128574
"Wave_981",0.682805874504087
"Wave_982",0.686058889258969
"Wave_983",0.690818517501706
"Wave_984",0.700245539652389
"Wave_985",0.70676720325567
"Wave_986",0.713680757108325
"Wave_987",0.718253993192918
"Wave_988",0.719992570162041
"Wave_989",0.725945636648549
"Wave_990",0.730093028545314
"Wave_991",0.732234411272368
"Wave_992",0.735566075311313
"Wave_993",0.745639613360903
"Wave_994",0.748942856959541
"Wave_995",0.753347564152252
"Wave_996",0.764274247816579
"Wave_997",0.775699957226242
"Wave_998",0.783633820817642
"Wave_999",0.78715791291475
"Wave_1000",0.789708512261344
"Wave_1001",0.768200221644024
"Wave_1002",0.772232929771893
"Wave_1003",0.769316679195784
"Wave_1004",0.763238227656285
"Wave_1005",0.756127981461304
"Wave_1006",0.746680007048071
"Wave_1007",0.736025236802554
"Wave_1008",0.728269983887675
"Wave_1009",0.722327256692707
"Wave_1010",0.718700458044244
"Wave_1011",0.714700638802753
"Wave_1012",0.709918323689776
"Wave_1013",0.70555976387006
"Wave_1014",0.700794066596886
"Wave_1015",0.693773201371631
"Wave_1016",0.689566710867363
"Wave_1017",0.686188685080765
"Wave_1018",0.684662461108794
"Wave_1019",0.683516796238706
"Wave_1020",0.682082548758236
"Wave_1021",0.682370219401229
"Wave_1022",0.683823101906224
"Wave_1023",0.685618661828275
"Wave_1024",0.691154538438595
"Wave_1025",0.696481976242703
"Wave_1026",0.702390705332771
"Wave_1027",0.708018282180459
"Wave_1028",0.71397357760171
"Wave_1029",0.720658944856551
"Wave_1030",0.727387686957062
"Wave_1031",0.735466687877844
"Wave_1032",0.742733347667502
"Wave_1033",0.751147638998614
"Wave_1034",0.762446449524827
"Wave_1035",0.775100053021146
"Wave_1036",0.788338961974355
"Wave_1037",0.802728203545104
"Wave_1038",0.815422216045654
"Wave_1039",0.824973814728222
"Wave_1040",0.835960140705884
"Wave_1041",0.847009221269382
"Wave_1042",0.859270312995559
"Wave_1043",0.871095132357833
"Wave_1044",0.886511934755452
"Wave_1045",0.901022389034088
"Wave_1046",0.914900623106244
"Wave_1047",0.927020180215815
"Wave_1048",0.934988837525449
"Wave_1049",0.945568357804394
"Wave_1050",0.956958730346594
"Wave_1051",0.96654658968175
"Wave_1052",0.977055994795097
"Wave_1053",0.985193967484775
"Wave_1054",0.991703009276919
"Wave_1055",0.99549119093497
"Wave_1056",0.997752278751545
"Wave_1057",0.99723452797852
"Wave_1058",0.995723792135487
"Wave_1059",0.993758694879697
"Wave_1060",0.988092850166482
"Wave_1061",0.982787595344695
"Wave_1062",0.974916333004494
"Wave_1063",0.962566748317842
"Wave_1064",0.952626169448934
"Wave_1065",0.939975566124876
"Wave_1066",0.925890592918174
"Wave_1067",0.911985414092733
"Wave_1068",0.895671627286153
"Wave_1069",0.876833536032289
"Wave_1070",0.858085231939479
"Wave_1071",0.839064597487527
"Wave_1072",0.819644806885495
"Wave_1073",0.802524421679249
"Wave_1074",0.786508744034555
"Wave_1075",0.771507641296323
"Wave_1076",0.757190091585806
"Wave_1077",0.742903096419288
"Wave_1078",0.729441786657592
"Wave_1079",0.717119880730433
"Wave_1080",0.70445856626716
"Wave_1081",0.691806635186226
"Wave_1082",0.679516802664602
"Wave_1083",0.667656787807458
"Wave_1084",0.655677396126719
"Wave_1085",0.644832902840523
"Wave_1086",0.635020885672447
"Wave_1087",0.625733111099424
"Wave_1088",0.617580852184953
"Wave_1089",0.610524257294363
"Wave_1090",0.604980467296587
"Wave_1091",0.600743729899638
"Wave_1092",0.597404437357701
"Wave_1093",0.594577291687342
"Wave_1094",0.59238762665308
"Wave_1095",0.59132973043687
"Wave_1096",0.591452855575585
"Wave_1097",0.59224252858174
"Wave_1098",0.593196822333789
"Wave_1099",0.593601000116856
"Wave_1100",0.593820811950481
"Wave_1101",0.594685861895398
"Wave_1102",0.596062486201104
"Wave_1103",0.59844755056582
"Wave_1104",0.601483434157132
"Wave_1105",0.604242240702099
"Wave_1106",0.607678173170036
"Wave_1107",0.612617584660802
"Wave_1108",0.616549291144992
"Wave_1109",0.621000804449221
"Wave_1110",0.623752231191291
"Wave_1111",0.625201928855148
"Wave_1112",0.625565127535557
"Wave_1113",0.626343330217262
"Wave_1114",0.628389306614961
"Wave_1115",0.631717139909006
"Wave_1116",0.634504778711667
"Wave_1117",0.636701171545587
"Wave_1118",0.63736674027628
"Wave_1119",0.635800963327549
"Wave_1120",0.634269217709882
"Wave_1121",0.63209697331394
"Wave_1122",0.629526818226816
"Wave_1123",0.627271560291472
"Wave_1124",0.626027097044927
"Wave_1125",0.622743347133236
"Wave_1126",0.6186390114686
"Wave_1127",0.614528750979467
"Wave_1128",0.608700548048356
"Wave_1129",0.602464951312014
"Wave_1130",0.597074362205934
"Wave_1131",0.590836400760753
"Wave_1132",0.583730941010033
"Wave_1133",0.576671517355091
"Wave_1134",0.568859491726
"Wave_1135",0.560631397162736
"Wave_1136",0.55394246535093
"Wave_1137",0.546807920118005
"Wave_1138",0.539048791496193
"Wave_1139",0.531103482050374
"Wave_1140",0.523624522334728
"Wave_1141",0.515495823252578
"Wave_1142",0.508160361211923
"Wave_1143",0.503017423036941
"Wave_1144",0.498264712018282
"Wave_1145",0.494879415631563
"Wave_1146",0.49283581519008
"Wave_1147",0.490412180627421
"Wave_1148",0.488156929884351
"Wave_1149",0.485738638083954
"Wave_1150",0.483327086470994
"Wave_1151",0.480870034180248
"Wave_1152",0.478689557789149
