"","SLA.13.comps"
"Wave_565",19.1558375886115
"Wave_566",13.9038373366353
"Wave_567",7.1459207956924
"Wave_568",-0.960844570282802
"Wave_569",-5.68179697548904
"Wave_570",-9.18651019658744
"Wave_571",-13.2002199780517
"Wave_572",-18.4990648175233
"Wave_573",-20.438303662172
"Wave_574",-20.8158296608821
"Wave_575",-21.5497671457735
"Wave_576",-23.2851529841206
"Wave_577",-24.4942157141389
"Wave_578",-26.7152558657263
"Wave_579",-30.9439270048475
"Wave_580",-30.9667126661461
"Wave_581",-32.5131417909579
"Wave_582",-37.0759283726615
"Wave_583",-41.7367659034021
"Wave_584",-42.1903755331498
"Wave_585",-40.6088347741564
"Wave_586",-39.6235140431103
"Wave_587",-39.9425535425875
"Wave_588",-41.2832893351148
"Wave_589",-42.3456294591157
"Wave_590",-41.9235963165231
"Wave_591",-43.2740269765724
"Wave_592",-44.3161904706697
"Wave_593",-44.3186372434276
"Wave_594",-44.9570449565909
"Wave_595",-44.2936663248204
"Wave_596",-43.790593391169
"Wave_597",-44.7726608562399
"Wave_598",-44.8824357038745
"Wave_599",-45.0837170598156
"Wave_600",-45.5234329666495
"Wave_601",-45.7582116110289
"Wave_602",-45.9383867647564
"Wave_603",-46.9401324905558
"Wave_604",-48.7511508961529
"Wave_605",-49.4979526193224
"Wave_606",-50.1370001835463
"Wave_607",-51.3024363599038
"Wave_608",-53.0290646293752
"Wave_609",-53.1952252491426
"Wave_610",-52.4940687610979
"Wave_611",-51.4474238639119
"Wave_612",-50.254178068832
"Wave_613",-50.1075946633871
"Wave_614",-50.4560513382743
"Wave_615",-50.3932260679759
"Wave_616",-48.7626442572972
"Wave_617",-48.2402752513091
"Wave_618",-48.6673047361098
"Wave_619",-48.494899583696
"Wave_620",-47.7586787399331
"Wave_621",-47.6869023103365
"Wave_622",-48.1682712426335
"Wave_623",-46.9639262086644
"Wave_624",-45.9803745520028
"Wave_625",-44.9081633300701
"Wave_626",-43.3197071665492
"Wave_627",-42.8089934861361
"Wave_628",-42.1170668609174
"Wave_629",-41.2261436266351
"Wave_630",-41.018369095147
"Wave_631",-40.2683087841969
"Wave_632",-39.7362206651806
"Wave_633",-39.98438449542
"Wave_634",-40.6764931634406
