Ci,Photo,gs,Tleaf,PPFD,Plot,Repeat,Rep,Name,PlotRepeat
1435.957625883346,30.810776093804648,0.4807829068929071,27.638750084637124,1800.09,1012,1,1,B1K-31-19,1012 1
1626.092613285143,31.578016194094324,0.4677409198538159,27.64953241596367,1800.16,1012,1,1,B1K-31-19,1012 1
297.15262772177573,34.539423038631526,0.7620550157535629,26.54481359372643,1800.15,1012,2,1,B1K-31-19,1012 2
222.14135048113516,26.056076698454703,0.7575880932420039,26.573892296126356,1800.13,1012,2,1,B1K-31-19,1012 2
152.12718117517886,15.961460546561446,0.7619328301911841,26.574204580476657,1800.13,1012,2,1,B1K-31-19,1012 2
82.66531365455384,5.517575614217387,0.7552482313714801,26.590566675701904,1800.13,1012,2,1,B1K-31-19,1012 2
65.55894878836715,2.771536573773226,0.7397155604732187,26.611818336125857,1799.85,1012,2,1,B1K-31-19,1012 2
296.43342966592934,32.99720830006312,0.7092224715728089,26.65720177410166,1799.86,1012,2,1,B1K-31-19,1012 2
361.6700062620198,40.085710577526314,0.6273292507723592,26.77100572557909,1799.87,1012,2,1,B1K-31-19,1012 2
522.3361233194985,47.51127151585268,0.5733447631488204,26.85920009613803,1800.11,1012,2,1,B1K-31-19,1012 2
793.2632854685075,50.11739871191471,0.5223937700169065,26.949278266819633,1800.07,1012,2,1,B1K-31-19,1012 2
980.86012983953,49.675150672089224,0.49239163031414823,27.01020429562804,1799.79,1012,2,1,B1K-31-19,1012 2
1166.482588455244,50.86315817322114,0.47535814939059395,27.048243418972522,1800.04,1012,2,1,B1K-31-19,1012 2
1365.736315794969,49.99155292940069,0.47721451403439785,27.040294215249208,1800.03,1012,2,1,B1K-31-19,1012 2
1566.2253884874738,48.93752640977627,0.48055203480897374,27.043294963332396,1799.75,1012,2,1,B1K-31-19,1012 2
282.8509067175626,29.87641588965088,0.5455580539550567,27.457151525360864,1800,1012,3,1,B1K-31-19,1012 3
211.03051392196957,22.233022187105874,0.5314187073386628,27.476345986732717,1800.02,1012,3,1,B1K-31-19,1012 3
145.88596322711123,14.038826670918251,0.5626224782919056,27.43030595183694,1800,1012,3,1,B1K-31-19,1012 3
82.16288674542218,4.468287857050911,0.5741896192601917,27.39633817111222,1800.03,1012,3,1,B1K-31-19,1012 3
