"","Genotype","a_fit","b_fit","c_fit","d_fit","e_fit","f_fit","g_fit","h_fit","end_NPQ","max_amp","gradient","end_FvFm"
"65","B1K-09-18",4.12469658661575,0.00505804644657812,3.49527751422226,0.0165163389173282,0.395518911328584,0.283991493144703,0.0122211943924116,0.494235547108885,0.337499615057483,3.90697160187886,0.031684890910634,0.782220406736096
"66","B1K-10-01",3.69765187035796,0.00650011858612819,3.22707059988204,0.0159088236246633,0.364446663268401,0.272254208571416,0.0121165220386855,0.516139243824721,0.345941107145986,3.56372344834473,0.0337109845251664,0.786500251728009
"67","B1K-10-03",4.24393265185493,0.00608878803331203,3.68846350234976,0.0160776308796665,0.46127310510031,0.294269410669723,0.0115514425219051,0.473075961181908,0.411777156075143,4.13333453825212,0.0400291685911059,0.76860232221956
"68","B1K-10-10",3.88320765435124,0.00574213604475646,3.37195918554909,0.0188795487842861,0.43116980147408,0.275599751364723,0.0127539086187199,0.502372504882883,0.293791409202156,3.90108808318447,0.0453694646798956,0.789099309227963
"69","B1K-10-12",3.70953675673683,0.00766467993654893,3.35435388279323,0.0185999792456993,0.420436799390302,0.276131906825387,0.0133481082489084,0.502938673543885,0.361252651247393,3.77858067870891,0.041665821995529,0.781018232637056
"70","B1K-10-13",4.29337511749638,0.00764825000064402,3.72969162514509,0.0163248596056451,0.482261710302414,0.287846943841101,0.0119543321078541,0.485598527226001,0.41571653386094,4.20360337561935,0.0354343166678187,0.77455437702213
"71","B1K-10-18",3.64733665374679,0.00820493678910437,3.16515996782373,0.0156667416011994,0.432739331285326,0.266833309336512,0.0116529597788845,0.504223974269631,0.38643958261767,3.62358465190803,0.0345386012648896,0.7739150802596
"72","B1K-11-04",3.71918784353864,0.00522311911400971,3.16380783914321,0.0183430600413436,0.368512562366001,0.266885336856742,0.0139827737589205,0.5152377273818,0.30079568106419,3.53143968753624,0.0299438555491744,0.788274754279771
"73","B1K-11-05",4.03402754764088,0.00538516362230214,3.4944322092891,0.0176763575190253,0.373949205952548,0.28201852397472,0.0134898636807535,0.506440385135564,0.338746086877848,3.83500376892384,0.031096357519182,0.787867342488784
"74","B1K-11-09",3.47972685919587,0.00713753606208141,2.90264707947066,0.0220914816622979,0.436763084253603,0.249255345585605,0.0156231382990589,0.528103930605894,0.301146789192649,3.40691940888128,0.0345127329363999,0.7849976787769
"75","B1K-11-10",4.14188778993481,0.0045443982979755,3.32111136913182,0.0204651010945675,0.408067087749202,0.267369591604464,0.0149272540293749,0.513259001251541,0.315930021009489,3.73480592484384,0.0322347663912073,0.784383314860382
"76","B1K-11-15",4.07067839321317,0.00518388710049586,3.39694942031267,0.0189721459973526,0.416054952861341,0.273326461382797,0.0138276289154644,0.512650985259487,0.342397425509692,3.8483672390284,0.0308138701493386,0.790648159191506
"77","B1K-11-16",4.14548596496535,0.00429856550968697,3.36764170055972,0.0212496890470079,0.421468626441785,0.275471987277279,0.0161686321156309,0.504671266383051,0.342760396534802,3.7701450417074,0.0291808245819598,0.785714908265403
"78","B1K-11-18",3.6300796784253,0.00972471467683239,3.25068276299604,0.0209626540846184,0.40194835909672,0.271077620385312,0.0144291160874998,0.506234592189339,0.267104497906588,3.69072474029055,0.0415010323659587,0.787886822315747
"79","B1K-11-20",3.90754918724078,0.00978224568992279,3.32149867668264,0.0200527394217908,0.521171694299515,0.266418583052663,0.0134263498227415,0.495449427668853,0.341657758773395,3.9187322773662,0.0420628548506131,0.779017366867048
"80","B1K-12-03",4.03889542543723,0.00592133333656685,3.48542716132399,0.0137631883044822,0.438058153968023,0.276564519828233,0.0100687906318735,0.509668455306944,0.376433897134224,3.95118773180807,0.0301403459236277,0.788855272311118
"81","B1K-12-05",2.91459985569152,0.00653481320238455,2.58503769961436,0.0154952470252934,0.344750765464912,0.235221469584762,0.0123703580358939,0.556652153454594,0.30002008660765,2.86691711284998,0.0232359408104716,0.793576546003298
"82","B1K-12-06",2.93007174301762,0.00760810197765254,2.70780533260876,0.0123882742416104,0.326697482212548,0.247050445812706,0.00990518951387128,0.540466127409924,0.308845455352371,2.9428477387276,0.0282060924802786,0.786349237624269
"83","B1K-12-10",4.04604832745363,0.00586076392301288,3.47163614477396,0.0113048498687201,0.420027792569918,0.291173026602205,0.00796247249348294,0.472952644843583,0.335526233364199,3.9432015784532,0.0368070386565449,0.764313351094351
"84","B1K-13-03",4.11941046475081,0.00622719638812831,3.49920775734975,0.0154103188380989,0.470777366485018,0.276996867269317,0.0115063956033157,0.495841385026164,0.426182889010718,3.92895906106151,0.0339863041364346,0.775870314937237
"85","B1K-13-06",3.64824020956316,0.00650290623477589,3.16080686332465,0.0234376622433512,0.430015780081299,0.25989588187207,0.0168511206501804,0.52373556863166,0.33420446199104,3.67399367160754,0.0336492977851113,0.792629480235664
"86","B1K-13-10",3.4794533286898,0.00715500246587851,3.11736015560656,0.0142783185329055,0.392859459303779,0.25850264640918,0.0105100282763666,0.536629083765434,0.317362481895419,3.52451210996315,0.0342734378570544,0.796589697555061
"87","B1K-13-14",4.47989799897655,0.00459223933050647,3.60957347351397,0.0168450376423376,0.451983084526621,0.285829797233581,0.0119700090974084,0.488950006778065,0.360242178428105,4.03677105662727,0.028802288329849,0.782776721991317
"88","B1K-13-15",3.96458064284165,0.00432360715019551,3.31856523765182,0.0206178914484359,0.34324407410028,0.276920717877311,0.0147740733371323,0.509545960634761,0.27965887445705,3.69813898612494,0.0300442384894412,0.788393745017193
"89","B1K-13-20",3.56613532891679,0.00552748128870776,3.12791895339129,0.0181725001344165,0.388360311851341,0.263300223161217,0.0131759023166184,0.518946018337742,0.308634019362376,3.5454664078472,0.036910753994894,0.784156158459597
"90","B1K-14-01",3.37961505007413,0.00560762880865711,2.92052807464285,0.0193432155414041,0.382392052584655,0.251550963256956,0.0150519944110119,0.528250680192196,0.341868414815781,3.25482065710902,0.0265400632267684,0.782501206638844
"91","B1K-14-04",3.45239914443075,0.00748089908066055,3.0775531817312,0.0158891521898881,0.404220343843948,0.265933689823197,0.0113531112163689,0.507866458903566,0.347207750789852,3.47987685556308,0.0393571658546215,0.772252197235584
"92","B1K-14-06",3.74195372218205,0.00775814516985048,3.2792888591685,0.016259471045906,0.399224923314683,0.265743074801086,0.011049434140119,0.523680830724189,0.308351375329126,3.71587986159539,0.035479406682779,0.790883796993137
"93","B1K-14-12",3.51022229762883,0.00535236330161292,3.04942603910724,0.0259047908361262,0.389669385031977,0.252026789429466,0.0193676860715835,0.53146190815517,0.312756660717813,3.49082933710916,0.0340870725674009,0.792885438283904
"94","B1K-14-13",3.83147008722163,0.00821442751137693,3.37976527166516,0.016019879394557,0.425596675705001,0.275713387448956,0.0111619804272085,0.506419430944415,0.360133468912179,3.80016714166133,0.0370812604124345,0.782898325976474
"95","B1K-14-17",3.56682606157574,0.00740209519631206,3.29867903521826,0.0165390789486651,0.310685448746107,0.282165407230741,0.0122581058631905,0.507452511397105,0.261480989044446,3.60868081046947,0.034604506472058,0.794887274020795
"96","B1K-15-04",3.70480458561027,0.00618606875499925,3.15904046620771,0.015412209422611,0.405091608988887,0.262458145534355,0.0118178251414811,0.524388946254399,0.351520763033929,3.52476333414077,0.0250759793669646,0.789885165897697
"97","B1K-15-05",4.1056295629919,0.0114673082163627,3.70090170518302,0.0184238345663756,0.52377548766174,0.287041099844658,0.0139155794577486,0.487309573330744,0.522550596221014,4.19563279792088,0.0493224384203479,0.763978087345638
"98","B1K-15-06",4.02159095274874,0.0077897369671816,3.54610772021695,0.0144083232074747,0.466443651313966,0.27775627273943,0.0103852883107246,0.503927140347708,0.379379490985165,4.02501358514729,0.0339618328480549,0.787939150116304
"99","B1K-15-07",3.74911506144173,0.00849883919471144,3.28792329571663,0.0212594994863291,0.421152416204243,0.267227224080751,0.0159117825035498,0.52001794659081,0.315159724539161,3.69415154865182,0.0368613225934273,0.796362592542534
"100","B1K-15-12",3.60196382700125,0.00736954858785487,3.13344355241378,0.0136282046908834,0.447834657722679,0.26663949163156,0.00995010763703792,0.506222627621785,0.392337702960552,3.59730143471386,0.0361667023907289,0.772681578325578
"101","B1K-15-17",3.75283983313615,0.00696874872232333,3.26408269947176,0.0135986283414517,0.428800241540209,0.265877993220383,0.0103588913812987,0.519747344905842,0.356919263911939,3.70969172634229,0.032172525658961,0.790976110014094
"102","B1K-15-19",3.26789509183049,0.00599308101991841,2.90414023542391,0.0194914156322081,0.38255025653219,0.249900593993264,0.0141655355853141,0.537384524915943,0.326745596421591,3.3165722001714,0.0352934101388456,0.790053221660757
"103","B1K-15-20",3.72174430504778,0.00812598452861462,3.28737556915676,0.015672262850489,0.455260433781025,0.268978657136213,0.0114671122245568,0.510434347223773,0.371447684837732,3.77840479626595,0.0393386178231096,0.783419755942727
"104","B1K-16-01",3.80057875024462,0.00895235169961858,3.38535061996384,0.0167665419901882,0.425153582278747,0.279340527967472,0.0123011243417478,0.498534628089429,0.333864984130405,3.84037095005758,0.0413775712796069,0.784677020111146
"105","B1K-16-06",3.53470908452875,0.00899519776381208,3.15994042087229,0.0190869753582862,0.380782323247875,0.268450991866632,0.0142195160716334,0.504407745199124,0.334281854556261,3.51491548732745,0.0403855883968657,0.778685506283664
"106","B1K-16-10",3.46232473778377,0.00538354323153888,2.97060941319921,0.0185677595213787,0.314446479996108,0.261070961556333,0.0138495067650621,0.529804566510321,0.262036525653145,3.27507302349623,0.0243142306295423,0.795053078384518
"107","B1K-16-15",3.62405145766585,0.00466770971152092,2.90648712550174,0.0199765985428296,0.344820411519962,0.253841046750271,0.0147524291709888,0.536892333180334,0.280971753002729,3.22931577392354,0.024448176643596,0.793933032407553
"108","B1K-16-20",3.77677298647844,0.00799082385350821,3.20537050136462,0.0170245776742742,0.429659620433868,0.261083569912659,0.0128125106655418,0.538616432624593,0.375577389094731,3.60041174004519,0.0260909841081773,0.797319019298728
"109","B1K-17-01",3.57921953864398,0.00610887651646414,3.06704009601904,0.0213235343226168,0.400968669340242,0.259428348885773,0.0151280191078451,0.522639233062319,0.3031229750755,3.51035976414211,0.0320035498377652,0.786894247148079
"110","B1K-17-03",4.12455712571587,0.00549102956451874,3.45754520437594,0.0221921702859695,0.379248940595858,0.284309221565203,0.0160901463264154,0.501645163710017,0.292908454671656,3.85456407356239,0.0263649498179118,0.791628368258868
"111","B1K-17-07",3.37372483506427,0.00659592976893866,3.0183356524046,0.0272286191745447,0.39878111656657,0.249878196902707,0.0202214858985517,0.537754284647046,0.310869094451071,3.43126956576227,0.0378575425383013,0.795713089426732
"112","B1K-17-10",3.3069517792301,0.00632943404067267,2.92898716453323,0.0205579155780867,0.386021929911523,0.252091729453163,0.0155308551915459,0.530877874061197,0.318963045322249,3.33532660363095,0.0319600274577953,0.788256502239664
"113","B1K-17-13",3.59188098393204,0.00704850324896469,3.2243974705762,0.0198471305608099,0.373700171817302,0.268373967485111,0.0147025294692631,0.522189808305666,0.294669050910672,3.59369985233103,0.0358427649865302,0.797690792159782
"114","B1K-17-17",3.57220956729058,0.00454855719496858,2.85061654508205,0.0215216146953536,0.410125248051501,0.238874087050287,0.0158683371543376,0.538033615792915,0.333945726996582,3.30844953762977,0.0282612514160243,0.784785607242719
"115","B1K-17-18",3.5020349081101,0.00543943697132331,2.92108567793242,0.0169723539485464,0.423213167803357,0.250101114467009,0.0131526030274747,0.527084099826633,0.363254042931634,3.35182094174468,0.0306350434732763,0.777013840023708
"116","B1K-18-02",3.6863136141807,0.00493889474502439,3.1585311513415,0.0162405572355492,0.357698650759728,0.2663196623831,0.0125557417069735,0.521624677663987,0.331671931600607,3.48206485826359,0.0292185854344007,0.788575064220709
"117","B1K-18-03",3.73883466303326,0.0042115106704578,3.025786324456,0.0215935567046683,0.339053077488719,0.26764069461458,0.0161457058247372,0.509286157564336,0.26487611321625,3.36251108337047,0.0257336493800091,0.785002477919167
"118","B1K-18-05",3.91451068061491,0.00628351717669296,3.36091370217853,0.0186211077038594,0.411985671747564,0.27063449126946,0.0128728014749304,0.51134498990687,0.303536695197291,3.84949222004101,0.0350231706808416,0.792509114680094
"119","B1K-18-09",3.80291072199483,0.00427875512151701,3.04699256445302,0.0204793452308371,0.281924703837303,0.26942713072692,0.0150568859995984,0.526698181516623,0.201591910594991,3.34124084039662,0.0227574778372106,0.803483587657343
"120","B1K-18-16",3.81312427405588,0.00491138119666444,3.30980639775567,0.0172236344054771,0.405184416459469,0.265274909793318,0.0128289422113792,0.529709222567375,0.368370241690312,3.66932044709287,0.0357638954746414,0.79244593319172
"121","B1K-18-17",3.33653619227378,0.00718870313023594,3.00549649363732,0.0208702378075322,0.338075171187305,0.261133106579368,0.0157468725160464,0.532140111995453,0.273578321854755,3.34655242870166,0.0326501352882985,0.798341252357749
"122","B1K-18-18",3.69534879589449,0.0051143142564629,3.08384189551065,0.0189849232588074,0.350361525469305,0.268528617223713,0.0134450265697708,0.516337120832527,0.288903395163597,3.42390955847617,0.0202982024733338,0.782910023462657
"123","B1K-19-01",3.48053875726076,0.00589140694937387,3.01822899098956,0.0197163682586225,0.373368714836298,0.256602868807178,0.014217044090996,0.528109237379865,0.315226263307279,3.41870014171557,0.0301499779976302,0.788529900502872
"124","B1K-19-05",3.57504130926795,0.00713515145512674,3.18513500130865,0.0167262811449915,0.388376124364297,0.26630598828605,0.0120010240082555,0.519423967004221,0.314650831926849,3.61399285828321,0.0349942603190109,0.791215030931864
